Statnett saksnr.,Tilko saksnr.,Stasjon for tilknytning i transmisjonsnettet,Områdeplan,Prisområde,Statnetts kunde,Sluttkunde,Næringstype,Dato - moden bestilling fra sluttkunde,Dato - Ønsket tilknytning,Kunde og tilknytningsansvarlig,Kapasitet i kø (MW)
21/00093,ELB19,Varangerbotn TRA,Nord,NO4,Barents Nett As,Aker Solution og Varanger Kraft Hydrogen,Hydrogen/ammoniakk,2024-01-23,2030-01-30,Lars Erik Johansen,177
21/00098,ELB1788,Tveiten TRA,Telemark og Vestfold,NO2,Lede AS,GREEN MOUNTAIN HOLDINGS AS,Datasenter,2022-12-14,2027-03-30,Geir Kåsa,20
21/00100,ELB1539,Samnanger TRA,Bergen og Haugalandet,NO5,Aker BP ASA,Aker BP,Petroleum,2021-06-10,2025-12-31,Magnus Øverby Tennøe,10
21/00426,ELB664,Arendal TRA,Sør Rogaland og Agder,NO2,Glitre Nett AS,Biozin Holding AS,Industri,2025-05-29,2027-12-30,Arne Utne,65
21/00473,ELB85,Marka TRA,Helgeland og Salten,NO4,Linea AS,Gen2 energy,Hydrogen/ammoniakk,2022-10-30,2031-12-31,Ingvild Grøtterud Birkeland,500
22/00602,ELB1426,Rød TRA,Telemark og Vestfold,NO2,WS Computing AS,WS Computing AS,Datasenter,2022-03-29,2025-03-31,Geir Kåsa,480
22/00660,ELB1693,Sildvik KRA,Nord,NO4,Narvik Hydrogen AS,Narvik Hydrogen AS,Hydrogen/ammoniakk,2025-10-22,2027-04-01,Lars Erik Johansen,100
22/00715,ELB79,Kolsvik KRA/TRA,Helgeland og Salten,NO4,Linea AS,Helgeland Miljøfisk,Oppdrettsnæring,2022-04-27,2026-10-01,Ingvild Grøtterud Birkeland,25
23/00809,ELB1782,Tveiten TRA,Telemark og Vestfold,NO2,Lede AS,SLAGENTANGEN HYDROGEN AS,Hydrogen/ammoniakk,2022-09-04,2026-06-29,Geir Kåsa,59
23/00826,ELB2118,Ørskog TRA,Sogn og Sunnmøre,NO3,Linja AS,Norwegian Hydrogen AS,Hydrogen/ammoniakk,2023-01-25,2027-08-30,Hans Olav Ween,250
23/00863,ELB2010,Moskog TRA,Sogn og Sunnmøre,NO3,Linja AS,North Ammonia AS,Hydrogen/ammoniakk,2024-06-06,2028-01-30,Hans Olav Ween,200
23/00869,ELB1336,Moskog TRA,Sogn og Sunnmøre,NO3,Linja AS,HTwo-Fuel AS,Hydrogen/ammoniakk,2023-08-27,2024-08-29,Hans Olav Ween,20
23/00918,ELB1503,Skaidi TRA,Nord,NO4,Area Nett AS,Sky Consulting,Datasenter,2025-03-03,2025-12-30,Lars Erik Johansen,15
23/00931,ELB1194,Strinda TRA,Midt,NO3,Tensio AS,LUNERA ENERGI AS,Annet forbruk,2023-04-04,2027-07-01,Christopher Aarnseth Ruud,10.1
23/00951,ELB765,Hinnøy,Nord,NO4,Noranett AS,NORTHSAFE AS,Datasenter,2023-04-23,2023-09-13,Lars Erik Johansen,25
23/00977,ELB1933,Orkdal TRA,Midt,NO3,Tensio AS,Ellinor Batteries AS,Batteriproduksjon,2023-05-16,2029-06-30,Christopher Aarnseth Ruud,100
23/01018,ELB1626,Viklandet TRA,Midt,NO3,Linja AS,BIO3,Oppdrettsnæring,2023-05-30,2026-06-29,Hans Olav Ween,40
23/01050,ELB329,Fåberg TRA,Innlandet,NO1,Vevig As,Glocal Green Innlandet AS,Hydrogen/ammoniakk,2024-05-30,2029-03-30,Karoline Josefine Gudbjerg,125
23/01086,ELB1625,Viklandet TRA,Midt,NO3,Linja AS,Averøy Industripark AS,Oppdrettsnæring,2023-08-15,2028-01-30,Hans Olav Ween,20
23/01095,ELB1932,Orkdal TRA,Midt,NO3,Tensio AS,Orkland Næringspark AS,Industri,2023-08-18,2027-12-30,Christopher Aarnseth Ruud,5.1
23/01121,ELB1414,Aura KRA/TRA,Midt,NO3,Hydro Aluminium As,Hydro Aluminium AS,Industri,2022-10-25,2033-12-30,Hans Olav Ween,85
23/01166,ELB1775,Hof TRA,Telemark og Vestfold,NO2,Lede AS,Norgips Norge AS,Industri,2024-06-30,2027-12-30,Geir Kåsa,32
23/01219,ELB756,Niingen KRA/TRA,Nord,NO4,Noranett AS,Bogen Aqua,Oppdrettsnæring,2023-11-06,2028-11-30,Lars Erik Johansen,5
23/01237,ELB753,Kvitnes TRA,Nord,NO4,Noranett AS,Denvo Wolffish Norway AS,Oppdrettsnæring,2023-10-21,2031-11-30,Lars Erik Johansen,10
23/01317,ELB50,Salten transformatorstasjon TRA,Helgeland og Salten,NO4,Arva AS,Fjuel Bodø,Transport,2023-11-14,2028-03-30,Ingvild Grøtterud Birkeland,6
