Statnett saksnr.,Tilko saksnr.,Stasjon for tilknytning i transmisjonsnettet,Områdeplan,Prisområde,Statnetts kunde,Sluttkunde,Næringstype,Dato - moden bestilling fra sluttkunde,Dato - Ønsket tilknytning,Kunde og tilknytningsansvarlig,Kapasitet i kø (MW)
22/00752,ELB4105,Leirdøla (LEX) TRA,Sogn og Sunnmøre,NO5,Sygnir AS,,Vannkraft,2015-08-17,,Hans Olav Ween,0.97
23/00852,ELB179,Vang TRA,Innlandet,NO1,Elvia As,Energeia Veldre AS,Solkraft,2023-06-21,2026-12-30,Heidi Hellesvik Ringstad,99.3
23/00933,ELB2197,Høyanger TRA,Sogn og Sunnmøre,NO3,Linja AS,Hydro Rein AS,Vindkraft,2025-09-01,2029-12-30,Hans Olav Ween,350
23/00948,ELB1446,Rjukan TRA,Telemark og Vestfold,NO2,Statkraft Energi As,STATKRAFT ENERGI AS,Vannkraft,2025-03-10,2034-12-30,Geir Kåsa,720
23/01128,ELB207,Minne TRA,Innlandet,NO1,Elvia As,Landinfra Energy Norway AS,Solkraft,2023-10-25,2028-03-30,Heidi Hellesvik Ringstad,184
23/01137,ELB200,Minne TRA,Innlandet,NO1,Elvia As,Pyur Energy AS,Solkraft,2024-03-31,2025-05-31,Heidi Hellesvik Ringstad,12.3
23/01160,ELB261,Vardal TRA,Innlandet,NO1,Elvia As,Energeia Øystadmarka AS,Solkraft,2024-04-29,2031-03-30,Heidi Hellesvik Ringstad,38
23/01194,ELB176,Vang TRA,Innlandet,NO1,Elvia As,Energiea Bolstadmarka AS,Solkraft,2023-06-21,2026-04-30,Heidi Hellesvik Ringstad,81
23/01308,ELB1550,Røldal KRA/TRA,Bergen og Haugalandet,NO2,Lyse Kraft DA,LYSE KRAFT DA,Vannkraft,2023-11-06,2032-03-30,Magnus Øverby Tennøe,292
23/01337,ELB187,Vang TRA,Innlandet,NO1,Elvia As,Differ Energy AS,Solkraft,2024-02-20,2026-12-30,Heidi Hellesvik Ringstad,5
23/01377,ELB162,Rendalen transformatorstasjon TRA,Innlandet,NO1,Elvia As,Aneo AS,Solkraft,2024-06-12,2028-12-30,Heidi Hellesvik Ringstad,40
23/01385,ELB183,Minne TRA,Innlandet,NO1,Elvia As,Endra AS,Solkraft,2023-11-08,2026-12-30,Heidi Hellesvik Ringstad,3
