Statnett saksnr.,Tilko saksnr.,Stasjon for tilknytning i transmisjonsnettet,Områdeplan,Prisområde,Statnetts kunde,Sluttkunde,Næringstype,Dato for når Statnett reserverte kapasitet til kunden,Dato - Planlagt tiknytning,Kunde og tilknytningsansvarlig,Reservert kapasitet (MW)
21/00019,ELB1236,Hofstad TRA,Midt,NO3,Tensio AS,OKEA,Petroleum,2020-06-09,2026-07-30,Christopher Aarnseth Ruud,80
21/00036,ELB992,Fræna TRA,Midt,NO3,Elinett AS,Omya Hustadmarmor AS,Industri,2018-10-15,2028-12-31,Hans Olav Ween,9
21/00063,ELB2085,Ørskog TRA,Sogn og Sunnmøre,NO3,Linja AS,World Heritage Salmon AS,Oppdrettsnæring,2023-12-05,2027-03-30,Hans Olav Ween,52
21/00068,ELB1630,Surna,Midt,NO3,Mellom AS,Salfjord AS,Oppdrettsnæring,2025-03-13,2028-01-01,Hans Olav Ween,55
21/00078,ELB1540,Spanne TRA,Bergen og Haugalandet,NO2,Vår Energi As,,Petroleum,2021-05-27,2030-12-31,Magnus Øverby Tennøe,55
21/00100,ELB1539,Samnanger TRA,Bergen og Haugalandet,NO5,Aker BP ASA,Aker BP,Petroleum,2022-09-08,2026-12-31,Magnus Øverby Tennøe,90
21/00112,ELB1765,Porsgrunn TRA,Telemark og Vestfold,NO2,Herøya Nett As,Nordic Electrofuel AS,Hydrogen/ammoniakk,2023-01-18,2029-06-30,Geir Kåsa,26
21/00127,ELB616,Stord TRA,Bergen og Haugalandet,NO2,Fagne AS,Lerøy,Oppdrettsnæring,2023-11-23,2026-09-30,Magnus Øverby Tennøe,9
21/00163,ELB119,Tegneby TRA,"Oslo, Akershus og Østfold",NO1,Elvia As,Microsoft Datacenter Norway AS,Datasenter,2021-05-07,2028-12-30,Karoline Josefine Gudbjerg,13
21/00169,ELB108,Frogner TRA,"Oslo, Akershus og Østfold",NO1,Elvia As,SI OSL 03.2 AS,Datasenter,2023-11-19,2033-06-29,Karoline Josefine Gudbjerg,22
21/00172,ELB125,Tegneby TRA,"Oslo, Akershus og Østfold",NO1,Elvia As,SI OSL 04 AS,Datasenter,2021-01-25,2033-06-29,Karoline Josefine Gudbjerg,16
21/00173,,Vang TRA,Innlandet,NO1,Elvia As,BaneNor SF,Transport,2020-12-06,2026-05-30,Karoline Josefine Gudbjerg,24
21/00184,ELB665,Arendal TRA,Sør Rogaland og Agder,NO2,Glitre Nett AS,Morrow Batteries,Batteriproduksjon,2024-08-22,2028-06-29,Arne Utne,88.5
21/00191,ELB47,Salten transformatorstasjon TRA,Helgeland og Salten,NO4,Arva AS,GreenH,Hydrogen/ammoniakk,2023-06-30,2027-06-29,Ingvild Grøtterud Birkeland,30
21/00200,,Arna Transformatorstasjon TRA,Bergen og Haugalandet,NO5,BKK AS,Statens Vegvesen,Transport,2022-11-10,2026-07-01,Magnus Øverby Tennøe,17
21/00206,ELB737,Haugsvær transformatorstasjon TRA,Bergen og Haugalandet,NO5,BKK AS,Regn / Kitebrook,Datasenter,2020-10-27,2027-03-31,Magnus Øverby Tennøe,30
21/00212,,Tegneby TRA,"Oslo, Akershus og Østfold",NO1,Elvia As,Green Mountain Enebakk AS,Datasenter,2020-09-21,2027-12-30,Karoline Josefine Gudbjerg,75
21/00222,ELB2540,Fortun KRA/TRA,Sogn og Sunnmøre,NO5,Linja AS,Hydro Aluminium AS,Industri,2019-02-17,2026-06-29,Hans Olav Ween,26
21/00223,,Høyanger TRA,Sogn og Sunnmøre,NO3,Linja AS,Hydro Aluminium AS,Industri,2018-08-21,2026-11-29,Hans Olav Ween,3
21/00233,,Kvandal TRA,Nord,NO4,Nordkraft Industrinett,Aaktik Digital AS,Datasenter,2021-04-28,2026-11-30,Lars Erik Johansen,230
21/00247,,Kvinesdal TRA,Sør Rogaland og Agder,NO2,Alcoa Norway AS,Aker BP ASA,Petroleum,2019-12-02,2026-06-29,Arne Utne,45
21/00279,ELB1496,Hyggevatn TRA,Nord,NO4,Equinor Asa,EQUINOR ASA,Petroleum,2019-04-03,2029-06-29,Lars Erik Johansen,350
21/00283,ELB1543,Kårstø TRA,Bergen og Haugalandet,NO2,Gassco AS,Gassco AS,Petroleum,2019-05-15,2029-12-30,Magnus Øverby Tennøe,10
21/00289,ELB1571,Kristiansand TRA,Sør Rogaland og Agder,NO2,N01 Utilities AS,N01 Utilities AS,Datasenter,2023-01-22,2027-12-30,Arne Utne,300
21/00298,,Ålfoten TRA,Sogn og Sunnmøre,NO3,Linja AS,Lefdal Mine datacenter,Datasenter,2018-10-30,2028-06-29,Hans Olav Ween,63.8
21/00333,ELB3409,Strinda TRA,Midt,NO3,Tensio AS,NTNU Tyholt Marin center,Industri,2021-05-21,2027-12-30,Christopher Aarnseth Ruud,6.6
21/00339,ELB1531,Skaidi TRA,Nord,NO4,Lucerna AS,Nussir AS,Industri,2022-02-27,2026-09-30,Lars Erik Johansen,35
21/00341,ELB1055,Ringerike TRA,Hallingdal og Ringerike,NO1,Glitre Nett AS,Billerud Korsnäs,Industri,2023-03-15,2027-08-30,Heidi Hellesvik Ringstad,55
21/00347,ELB59,Salten transformatorstasjon TRA,Helgeland og Salten,NO4,Arva AS,Bluebite,Datasenter,2023-06-30,2025-12-30,Ingvild Grøtterud Birkeland,1
21/00351,ELB62,Salten transformatorstasjon TRA,Helgeland og Salten,NO4,Arva AS,Sisomar Smolt,Oppdrettsnæring,2023-06-30,2031-12-30,Ingvild Grøtterud Birkeland,12.3
21/00365,ELB1499,Skaidi TRA,Nord,NO4,Lucerna AS,Horisont Energi,Hydrogen/ammoniakk,2023-06-28,2028-04-02,Lars Erik Johansen,45
21/00371,ELB1730,Åfjord TRA,Midt,NO3,Tensio AS,Vikingbase,Oppdrettsnæring,2023-12-06,2027-12-31,Christopher Aarnseth Ruud,15.7
21/00385,ELB126,Hasle TRA,"Oslo, Akershus og Østfold",NO1,Elvia As,Borregaard AS,Industri,2023-12-07,2029-01-30,Karoline Josefine Gudbjerg,35
21/00397,ELB1903,Rjukan TRA,Telemark og Vestfold,NO2,Lede AS,NORSK HYDROGEN AS,Hydrogen/ammoniakk,2021-09-28,2028-06-29,Geir Kåsa,35
21/00400,,Flesaker TRA,Telemark og Vestfold,NO1,Glitre Nett AS,Drammen fjernvarme,Industri,2023-03-15,2025-12-30,Heidi Hellesvik Ringstad,11
21/00434,ELB36,Svartisen KRA/TRA,Helgeland og Salten,NO4,Arva AS,Helgeland Smolt AS,Oppdrettsnæring,2023-06-30,2028-09-29,Ingvild Grøtterud Birkeland,6.3
21/00435,ELB39,Svartisen KRA/TRA,Helgeland og Salten,NO4,Arva AS,Nova Sea,Oppdrettsnæring,2023-06-30,2026-12-30,Ingvild Grøtterud Birkeland,13
21/00437,,Trollheim KRA/TRA,Midt,NO3,Tensio AS,Wäcker Chemicals,Industri,2022-06-09,2031-12-30,Christopher Aarnseth Ruud,15.5
21/00441,ELB2031,Moskog TRA,Sogn og Sunnmøre,NO3,Linja AS,Bulandet Miljøfisk,Oppdrettsnæring,2026-08-26,2028-10-01,Hans Olav Ween,4
21/00460,ELB1534,Tunnsjødal KRA/TRA,Midt,NO4,Tensio AS,Exanorth AS,Datasenter,2022-01-06,2026-12-31,Christopher Aarnseth Ruud,70
21/00471,ELB72,Marka TRA,Helgeland og Salten,NO4,Linea AS,Exanext AS,Datasenter,2025-12-21,2027-09-29,Ingvild Grøtterud Birkeland,23
21/00475,ELB229,Marka TRA,Helgeland og Salten,NO4,Linea AS,Alcoa Mosjøen,Industri,2024-02-09,2026-12-30,Ingvild Grøtterud Birkeland,41
22/00516,ELB1174,Eidum TRA,Midt,NO3,Tensio AS,Meråker Hydrogen AS,Hydrogen/ammoniakk,2023-12-06,2027-10-01,Christopher Aarnseth Ruud,9.2
22/00533,ELB35,Bardufoss Transformatorstasjon TRA,Nord,NO4,Arva AS,Finnfjord AS,Industri,2025-10-08,2031-06-30,Lars Erik Johansen,60
22/00544,ELB996,Fræna TRA,Midt,NO3,Elinett AS,Salmon Evolution,Oppdrettsnæring,2023-12-06,2027-03-01,Hans Olav Ween,13.3
22/00550,ELB998,Fræna TRA,Midt,NO3,Elinett AS,Troll Housing AS,Datasenter,2023-12-06,2027-07-01,Hans Olav Ween,15
22/00598,ELB57,Salten transformatorstasjon TRA,Helgeland og Salten,NO4,Arva AS,Aker Nscale,Datasenter,2023-06-30,2026-03-30,Ingvild Grøtterud Birkeland,13
22/00600,ELB2338,Ørskog TRA,Sogn og Sunnmøre,NO3,Linja AS,Norwegian Hydrogen AS,Hydrogen/ammoniakk,2023-12-05,2027-04-29,Hans Olav Ween,20
22/00602,ELB1426,Rød TRA,Telemark og Vestfold,NO2,WS Computing AS,WS Computing AS,Datasenter,2023-11-05,2026-12-30,Geir Kåsa,120
22/00614,,Kristiansand TRA,Sør Rogaland og Agder,NO2,Glitre Nett AS,AKT,Transport,2025-05-25,2028-12-30,Arne Utne,14
22/00618,ELB1168,Åfjord TRA,Midt,NO3,Tensio AS,Gen2 energy,Hydrogen/ammoniakk,2026-05-06,2029-03-31,Christopher Aarnseth Ruud,150
22/00625,ELB750,Hinnøy,Nord,NO4,Noranett AS,Andfjord Salmon,Oppdrettsnæring,2023-02-20,2027-06-24,Lars Erik Johansen,5.6
22/00630,ELB758,Boltåsen transformatorstasjon TRA,Nord,NO4,Noranett AS,Rødskjær,Industri,2023-01-02,2027-05-31,Lars Erik Johansen,15
22/00635,ELB130,Tegneby TRA,"Oslo, Akershus og Østfold",NO1,Elvia As,Hafslund Celsio AS,Industri,2023-11-19,2027-12-30,Karoline Josefine Gudbjerg,41
22/00654,ELB3954,Vågåmo TRA,Innlandet,NO3,Fjellnett As,Ugna Properties AS,Datasenter,2026-09-07,,Karoline Josefine Gudbjerg,10
22/00665,ELB2208,Svartisen KRA/TRA,Helgeland og Salten,NO4,Arva AS,Nscale,Datasenter,2025-10-02,2027-06-29,Ingvild Grøtterud Birkeland,30
22/00667,ELB2025,Ålfoten TRA,Sogn og Sunnmøre,NO3,Linja AS,Fortescue,Hydrogen/ammoniakk,2023-10-11,2029-06-28,Hans Olav Ween,300
22/00673,,Vinnelys TRA,Nord,NO4,Vissi AS,Lerøy,Oppdrettsnæring,2023-10-30,2026-05-31,Lars Erik Johansen,5.6
22/00686,ELB764,Melbu TRA,Nord,NO4,Noranett AS,Børøya,Industri,2023-02-06,2027-08-01,Lars Erik Johansen,4
22/00692,,Kobbvatnet TRA,Helgeland og Salten,NO4,Kystnett As,Northern DC,Datasenter,2022-11-13,2028-11-30,Ingvild Grøtterud Birkeland,50
22/00695,ELB2202,Svartisen KRA/TRA,Helgeland og Salten,NO4,Arva AS,Neptun GGA,Hydrogen/ammoniakk,2023-06-30,2027-06-29,Ingvild Grøtterud Birkeland,20
22/00696,,Sautso TRA,Nord,NO4,Vissi AS,Artic Core AS,Datasenter,2025-10-08,2026-05-31,Lars Erik Johansen,5
22/00700,ELB1533,Ogndal TRA,Midt,NO3,Tensio AS,MM Follacell,Industri,2025-03-14,2029-10-01,Christopher Aarnseth Ruud,7
