Statnett saksnr.,Tilko saksnr.,Stasjon for tilknytning i transmisjonsnettet,Områdeplan,Prisområde,Statnetts kunde,Sluttkunde,Næringstype,Dato - tilbaketrukket kapasitet,Kunde og tilknytningsansvarlig,Tilbaketrukket kapasitet (MW),Opprinnelig reservert kapasitet (MW),Gjeldende reservert kapasitet (MW)
21/00063,ELB2085,Ørskog TRA,Sogn og Sunnmøre,NO3,Linja AS,World Heritage Salmon AS,Oppdrettsnæring,2026-05-17,Hans Olav Ween,10,62,52
21/00078,ELB1540,Spanne TRA,Bergen og Haugalandet,NO2,Vår Energi As,,Petroleum,2024-03-20,Magnus Øverby Tennøe,85,140,55
21/00094,,Hyggevatn TRA,Nord,NO4,Equinor Asa,Equinor ASA,Petroleum,2022-11-30,Lars Erik Johansen,80,80,
21/00097,,Grenland TRA,Telemark og Vestfold,NO2,Lede AS,INOVYN Norge As,Industri,2026-01-07,Geir Kåsa,12,12,
21/00099,,Bardufoss Transformatorstasjon TRA,Nord,NO4,Arva AS,Carbon Recycling International,Industri,2025-03-10,Lars Erik Johansen,140,140,0
21/00100,ELB1539,Samnanger TRA,Bergen og Haugalandet,NO5,Aker BP ASA,Aker BP,Petroleum,2024-09-22,Magnus Øverby Tennøe,10,150,90
21/00103,,Grenland TRA,Telemark og Vestfold,NO2,Lede AS,INOVYN Norge As,Industri,2026-01-07,Geir Kåsa,14,14,
21/00108,,Grenland TRA,Telemark og Vestfold,NO2,Lede AS,INOVYN Norge As,Industri,2024-11-21,Geir Kåsa,20,20,
21/00111,,Sauda TRA,Bergen og Haugalandet,NO2,Iverson e-Fuels AS,Iverson e-Fuels AS,Hydrogen/ammoniakk,2025-12-08,Magnus Øverby Tennøe,270,270,
21/00164,,Rana KRA/TRA,Helgeland og Salten,NO4,Linea AS,Diverse,Industri,2024-02-08,Ingvild Grøtterud Birkeland,110,110,0
21/00167,,Balsfjord TRA,Nord,NO4,Nordkraft Industrinett,,Industri,2023-10-01,Lars Erik Johansen,200,200,
21/00184,ELB665,Arendal TRA,Sør Rogaland og Agder,NO2,Glitre Nett AS,Morrow Batteries,Batteriproduksjon,2025-05-30,Arne Utne,211.5,300,88.5
21/00192,,Kvinesdal TRA,Sør Rogaland og Agder,NO2,Linde Gas AS,Linde Gas AS,Hydrogen/ammoniakk,2025-06-26,Arne Utne,500,500,
21/00193,,Bjerkreim TRA,Sør Rogaland og Agder,NO2,Lnett AS,North Sea Energy Park,Datasenter,2023-09-10,Arne Utne,144,144,
21/00196,ELB1419,Porsgrunn TRA,Telemark og Vestfold,NO2,Herøya Nett As,Yara,Industri,2026-03-15,Geir Kåsa,600,600,
21/00241,,Kvinesdal TRA,Sør Rogaland og Agder,NO2,Alcoa Norway AS,Lista Renewable Energy Park,Industri,2024-04-18,Arne Utne,200,200,
21/00264,ELB596,Spanne TRA,Bergen og Haugalandet,NO2,Fagne AS,Ecofisk,Oppdrettsnæring,2024-12-05,Magnus Øverby Tennøe,4.9,4.9,
21/00283,ELB1543,Kårstø TRA,Bergen og Haugalandet,NO2,Gassco AS,Gassco AS,Petroleum,2025-10-30,Magnus Øverby Tennøe,150,160,10
21/00370,,Ørskog TRA,Sogn og Sunnmøre,NO3,Linja AS,Ålesund Havnevesen,Transport,2024-11-05,Hans Olav Ween,6.5,13,6.5
21/00423,ELB662,Arendal TRA,Sør Rogaland og Agder,NO2,Glitre Nett AS,North Ammonia,Hydrogen/ammoniakk,2026-02-01,Arne Utne,171,171,
21/00429,,Fræna TRA,Midt,NO3,Elinett AS,Nye veier,Transport,2024-12-17,Hans Olav Ween,8.7,8.7,0
21/00437,,Trollheim KRA/TRA,Midt,NO3,Tensio AS,Wäcker Chemicals,Industri,2025-07-01,Christopher Aarnseth Ruud,44.5,60,15.5
21/00458,ELB1770,Grenland TRA,Telemark og Vestfold,NO2,Lede AS,INEOS Rafnes AS,Industri,2026-02-18,Geir Kåsa,26,26,
