Statnett saksnr.,Tilko saksnr.,Stasjon for tilknytning i transmisjonsnettet,Områdeplan,Statnetts kunde,Sluttkunde,Næringstype,Dato - tilknyttet kapasitet,Kunde og tilknytningsansvarlig,Tilknyttet kapasitet totalt (MW),Tilknyttet kapasitet med ordinære vilkår (MW),Tilknyttet kapasitet med særlige vilkår (MW)
21/00006,,Strinda TRA,Midt,Tensio AS,Statkraft Varme,Industri,2026-01-01,Christopher Aarnseth Ruud,5,5,
21/00007,,Ørskog TRA,Sogn og Sunnmøre,Linja AS,"Plug AS, Hurtigruta, Fylkeskommunen, div industri",Transport,2025-10-07,Hans Olav Ween,31.7,31.7,
21/00009,,Orkdal TRA,Midt,Tensio AS,Orkanger havn og Orkanger travbane,Industri,2022-03-11,Christopher Aarnseth Ruud,5.8,5.8,
21/00010,,Klæbu TRA,Midt,Tensio AS,"Gråkallbanen, Ski VM 2025, Bane NOR",Transport,2021-12-30,Christopher Aarnseth Ruud,3.75,3.75,
21/00011,,Kolsvik KRA/TRA,Helgeland og Salten,Tensio AS,Vital,Oppdrettsnæring,2023-11-01,Ingvild Grøtterud Birkeland,18.2,18.2,
21/00012,,Eidum TRA,Midt,Tensio AS,Nye veier,Transport,2022-05-17,Christopher Aarnseth Ruud,8,8,
21/00013,,Snilldal Transformatorstasjon TRA,Midt,Tensio AS,Lerøy Midt,Industri,2021-12-19,Christopher Aarnseth Ruud,8.8,8.8,
21/00015,,Nea KRA/TRA,Midt,Tensio AS,Tydal Data Center,Datasenter,2025-09-30,Christopher Aarnseth Ruud,180,100,80
21/00017,,Eidum TRA,Midt,Tensio AS,Nye veier,Transport,2022-12-31,Christopher Aarnseth Ruud,5.7,5.7,
21/00018,,Snilldal Transformatorstasjon TRA,Midt,Tensio AS,Trøndelag Fylkeskommune,Transport,2024-12-29,Christopher Aarnseth Ruud,5,,5
21/00020,,Eidum TRA,Midt,Tensio AS,Bane Nor Sf,Transport,2025-09-30,Christopher Aarnseth Ruud,29,29,
21/00022,,Ørskog TRA,Sogn og Sunnmøre,Linja AS,Boreal - maritim transport,Transport,2021-12-30,Hans Olav Ween,8.5,8.5,
21/00023,,Fræna TRA,Midt,Mellom AS,,Industri,2022-05-17,Hans Olav Ween,41,41,
21/00035,,Fræna TRA,Midt,Elinett AS,Troll Housing AS,Datasenter,2023-12-31,Hans Olav Ween,37,,37
21/00038,,Kolsvik KRA/TRA,Helgeland og Salten,Tensio AS,"Osan settefisk, Norsk Fisketransport",Oppdrettsnæring,2022-05-17,Ingvild Grøtterud Birkeland,1.6,1.6,
21/00049,,Ørskog TRA,Sogn og Sunnmøre,Linja AS,Copra,Oppdrettsnæring,2022-08-30,Hans Olav Ween,4,4,
21/00061,,Namsos TRA,Midt,Tensio AS,Tjuin Industriområde,Industri,2023-02-23,Christopher Aarnseth Ruud,6.3,6.3,
21/00070,,Tunnsjødal KRA/TRA,Midt,Tensio AS,Exanorth AS,Datasenter,2022-06-30,Christopher Aarnseth Ruud,40,40,
