Statnett saksnr.,Tilko saksnr.,Stasjon for tilknytning i transmisjonsnettet,Områdeplan,Statnetts kunde,Sluttkunde,Næringstype,Dato - tilknyttet kapasitet,Kunde og tilknytningsansvarlig,Tilknyttet kapasitet totalt (MW),Tilknyttet kapasitet med ordinære vilkår (MW),Tilknyttet kapasitet med særlige vilkår (MW)
21/00027,,Kolsvik KRA/TRA,Helgeland og Salten,Tensio AS,Sarepta Energi AS,Vindkraft,2020-12-20,Ingvild Grøtterud Birkeland,55,55,
21/00043,,Snilldal Transformatorstasjon TRA,Midt,Tensio AS,Trønderenergi,Vindkraft,2020-12-20,Christopher Aarnseth Ruud,60,60,
21/00044,,Nea KRA/TRA,Midt,Tensio AS,Trønderenergi,Vindkraft,2021-12-19,Christopher Aarnseth Ruud,90,90,
21/00047,,Hofstad TRA,Midt,Tensio AS,Sarepta Energi AS,Vindkraft,2021-12-20,Christopher Aarnseth Ruud,130,130,
21/00051,,Tunnsjødal KRA/TRA,Midt,Tensio AS,Nte Energi As,Vannkraft,2023-11-10,Christopher Aarnseth Ruud,50,50,
21/00052,,Åfjord TRA,Midt,Tensio AS,Trønderenergi,Vindkraft,2021-12-19,Christopher Aarnseth Ruud,15,15,
21/00198,,Borgund KRA/TRA,Hallingdal og Ringerike,Sygnir AS,,Vannkraft,2021-12-19,Hans Olav Ween,26,26,
21/00231,,Åsen,Bergen og Haugalandet,Fagne AS,Småkraft AS,Vannkraft,2025-09-23,Magnus Øverby Tennøe,9,9,
21/00251,,Vardal TRA,Innlandet,Elvia As,Flere mindre,Vannkraft,2025-07-07,Heidi Hellesvik Ringstad,13,13,
21/00252,,Vemorktoppen,Telemark og Vestfold,Hydro Energi As,Hydro,Vannkraft,2019-12-31,Geir Kåsa,6,6,
21/00253,,Ertsmyra TS TRA,Sør Rogaland og Agder,Glitre Nett AS,,Vindkraft,2020-12-31,Arne Utne,342.3,342.3,
21/00254,,Vang TRA,Innlandet,,Austri Vind,Vindkraft,2020-12-01,Heidi Hellesvik Ringstad,60,60,
21/00255,,Songkjølen KRA/TRA,Innlandet,,Odal Vindkraftverk As,Vindkraft,2021-09-28,Heidi Hellesvik Ringstad,110.4,110.4,
21/00256,,Hasle TRA,"Oslo, Akershus og Østfold",,Marker Vindpark AS,Vindkraft,2019-01-01,Heidi Hellesvik Ringstad,54,54,
21/00259,,Høyanger TRA,Sogn og Sunnmøre,BKK AS,,Vannkraft,2021-12-19,Hans Olav Ween,10,10,
21/00261,,Fortun KRA/TRA,Sogn og Sunnmøre,Breheim Nett AS,,Vannkraft,2024-02-07,Hans Olav Ween,55,55,
